timestamp_ms,matrix_size,impl,threads,blockX,blockY,gridX,gridY,power_mW,temp_c,clock_MHz,time_ms,energy_mJ
1737827859298.000000,16384x16384,4,32,1,32,512,1,21269,30.0,210,0.828906,5393.642000
1737827859300.000000,16384x16384,4,32,1,32,512,1,21269,30.0,210,0.828906,5393.642000
1737827859302.000000,16384x16384,4,32,1,32,512,1,21269,30.0,210,0.828906,5393.642000
1737827859303.000000,16384x16384,4,32,1,32,512,1,21269,30.0,210,0.828906,5393.642000
1737827859305.000000,16384x16384,4,32,1,32,512,1,21269,30.0,210,0.828906,5393.642000
1737827859307.000000,16384x16384,4,32,1,32,512,1,21269,30.0,210,0.828906,5393.642000
1737827859308.000000,16384x16384,4,32,1,32,512,1,21269,30.0,210,0.828906,5393.642000
1737827859311.000000,16384x16384,4,32,1,32,512,1,21269,30.0,210,0.828906,5393.642000
1737827859319.000000,16384x16384,4,32,1,32,512,1,21234,30.0,210,0.828906,5393.642000
1737827859321.000000,16384x16384,4,32,1,32,512,1,21234,30.0,210,0.828906,5393.642000
1737827859327.000000,16384x16384,4,32,1,32,512,1,21237,30.0,210,0.828906,5393.642000
1737827859329.000000,16384x16384,4,32,1,32,512,1,21237,30.0,210,0.828906,5393.642000
1737827859332.000000,16384x16384,4,32,1,32,512,1,21237,30.0,210,0.828906,5393.642000
1737827859335.000000,16384x16384,4,32,1,32,512,1,21237,30.0,210,0.828906,5393.642000
1737827859337.000000,16384x16384,4,32,1,32,512,1,21237,30.0,210,0.828906,5393.642000
1737827859339.000000,16384x16384,4,32,1,32,512,1,21237,30.0,210,0.828906,5393.642000
1737827859341.000000,16384x16384,4,32,1,32,512,1,21237,30.0,2550,0.828906,5393.642000
1737827859350.000000,16384x16384,4,32,1,32,512,1,21237,30.0,2550,0.828906,5393.642000
1737827859352.000000,16384x16384,4,32,1,32,512,1,21237,30.0,2550,0.828906,5393.642000
1737827859354.000000,16384x16384,4,32,1,32,512,1,21237,30.0,2550,0.828906,5393.642000
1737827859355.000000,16384x16384,4,32,1,32,512,1,21237,30.0,2550,0.828906,5393.642000
1737827859357.000000,16384x16384,4,32,1,32,512,1,21237,30.0,2550,0.828906,5393.642000
1737827859358.000000,16384x16384,4,32,1,32,512,1,21237,30.0,2550,0.828906,5393.642000
1737827859360.000000,16384x16384,4,32,1,32,512,1,21237,30.0,2550,0.828906,5393.642000
1737827859361.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859366.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859368.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859369.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859371.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859373.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859374.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859376.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859378.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859379.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859380.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859382.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859383.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859385.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859386.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859388.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859389.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859391.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859393.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859394.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
1737827859396.000000,16384x16384,4,32,1,32,512,1,21237,31.0,2550,0.828906,5393.642000
