n_steps,beamsize,nhead,dim_per_head,block_x,block_y,thread_count,predicted_time_ns,actual_time_ns,predicted_power,actual_power,mem_coal,mem_uncoal,mem_partial,local_insts,shared_insts,synch_insts,fp_insts,int_insts,sfu_insts,alu_insts,total_insts,registers_per_thread,shared_mem_bytes
9,4,16,256,1,32,32,361730.0865684737,39097.60005772114,271.9734204452617,86.708,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,1,64,64,1062658.5565946582,38816.000148653984,258.0630447970251,96.018,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,1,128,128,2112141.947329021,39948.79946112633,250.85178894618832,113.861,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,1,256,256,4211108.728797746,41708.800941705704,247.21231857047434,145.528,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,1,512,512,8409042.291735198,46912.00032830238,245.38402997828535,192.45,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,1,1024,1024,11206391.790823555,64960.000663995736,244.4674801820861,230.11,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,2,16,32,361666.0885765317,31539.200618863102,271.9784500614668,81.501,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,2,32,64,1062562.6765415838,31942.400336265568,258.0643543773609,85.019,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,2,64,128,2112046.067275947,32473.599538207054,250.85212042361388,95.515,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,2,128,256,4211012.848744672,33894.3999260664,247.21240195729666,105.793,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,2,256,512,8408946.411682123,36896.00005745888,245.38405089012906,126.058,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,2,512,1024,11206327.792831616,48678.39962244034,244.46748542168626,144.094,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,4,8,32,361538.0925926476,27609.600126743317,271.9885146358092,80.085,0,0,81,0,1,2,0,6,0,98,188,32,0
9,4,16,256,4,16,64,1062370.916435435,28473.60000014305,258.06697424717817,81.209,0,0,81,0,1,2,0,6,0,98,188,32,0
