Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W)
matMul.cu,1,32,32,256,1,131072,38157.61,57296.00,33.40,1.00,143.87,22.90
matMul.cu,2,16,32,256,1,131072,38157.61,54368.00,29.82,1.00,143.87,42.70
matMul.cu,4,8,32,256,1,131072,38157.61,54272.00,29.69,1.00,143.87,31.98
matMul.cu,8,4,32,256,1,131072,38157.61,54272.00,29.69,1.00,143.87,37.42
matMul.cu,16,2,32,256,1,131072,38157.61,53248.00,28.34,1.00,143.87,43.96
matMul.cu,32,1,32,256,1,131072,38157.61,62464.00,38.91,1.00,143.87,32.23
matMul.cu,1,64,64,256,1,131072,66708.83,61440.00,8.58,2.00,144.53,38.16
matMul.cu,2,32,64,256,1,131072,66708.83,62864.00,6.12,2.00,144.53,44.29
matMul.cu,4,16,64,256,1,131072,66708.83,61440.00,8.58,2.00,144.53,32.48
matMul.cu,8,8,64,256,1,131072,66708.83,53840.00,23.90,2.00,144.53,38.21
matMul.cu,16,4,64,256,1,131072,66708.83,34336.00,94.28,2.00,144.53,44.89
matMul.cu,32,2,64,256,1,131072,66708.83,53248.00,25.28,2.00,144.53,32.91
matMul.cu,64,1,64,256,1,131072,66708.83,47616.00,40.10,2.00,144.53,39.23
matMul.cu,1,128,128,256,1,131072,123811.26,72704.00,70.29,4.00,144.94,44.59
matMul.cu,2,64,128,256,1,131072,123811.26,66528.00,86.10,4.00,144.94,32.79
matMul.cu,4,32,128,256,1,131072,123811.26,55296.00,123.91,4.00,144.94,38.90
matMul.cu,8,16,128,256,1,131072,123811.26,61536.00,101.20,4.00,144.94,45.43
matMul.cu,16,8,128,256,1,131072,123811.26,38464.00,221.89,4.00,144.94,33.18
matMul.cu,32,4,128,256,1,131072,123811.26,53728.00,130.44,4.00,144.94,40.19
matMul.cu,64,2,128,256,1,131072,123811.26,54080.00,128.94,4.00,144.94,46.59
matMul.cu,128,1,128,256,1,131072,123811.26,54272.00,128.13,4.00,144.94,33.59
matMul.cu,1,256,256,256,1,131072,238016.11,105984.00,124.58,8.00,145.16,39.92
matMul.cu,2,128,256,256,1,131072,238016.11,75776.00,214.10,8.00,145.16,46.63
matMul.cu,4,64,256,256,1,131072,238016.11,55264.00,330.69,8.00,145.16,33.79
matMul.cu,8,32,256,256,1,131072,238016.11,57872.00,311.28,8.00,145.16,40.47
matMul.cu,16,16,256,256,1,131072,238016.11,64112.00,271.25,8.00,145.16,27.79
matMul.cu,32,8,256,256,1,131072,238016.11,58288.00,308.34,8.00,145.16,34.14
matMul.cu,64,4,256,256,1,131072,238016.11,40544.00,487.06,8.00,145.16,41.60
matMul.cu,128,2,256,256,1,131072,238016.11,65536.00,263.18,8.00,145.16,27.51
matMul.cu,256,1,256,256,1,131072,238016.11,54704.00,335.10,8.00,145.16,34.36
matMul.cu,1,512,512,256,1,131072,466425.82,168400.00,176.97,16.00,145.28,42.31
matMul.cu,2,256,512,256,1,131072,466425.82,95232.00,389.78,16.00,145.28,28.07
matMul.cu,4,128,512,256,1,131072,466425.82,80832.00,477.03,16.00,145.28,33.94
matMul.cu,8,64,512,256,1,131072,466425.82,65600.00,611.01,16.00,145.28,41.67
matMul.cu,16,32,512,256,1,131072,466425.82,66560.00,600.76,16.00,145.28,28.14
matMul.cu,32,16,512,256,1,131072,466425.82,66560.00,600.76,16.00,145.28,34.15
matMul.cu,64,8,512,256,1,131072,466425.82,73728.00,532.63,16.00,145.28,41.47
matMul.cu,128,4,512,256,1,131072,466425.82,48528.00,861.15,16.00,145.28,28.06
matMul.cu,256,2,512,256,1,131072,466425.82,62464.00,646.71,16.00,145.28,36.01
matMul.cu,512,1,512,256,1,131072,466425.82,54336.00,758.41,16.00,145.28,42.46
matMul.cu,1,1024,1024,256,1,131072,923245.24,162304.00,468.84,32.00,145.35,28.10
matMul.cu,2,512,1024,256,1,131072,923245.24,118560.00,678.72,32.00,145.35,34.95
matMul.cu,4,256,1024,256,1,131072,923245.24,64512.00,1331.12,32.00,145.35,41.97
matMul.cu,8,128,1024,256,1,131072,923245.24,64928.00,1321.95,32.00,145.35,28.40
matMul.cu,16,64,1024,256,1,131072,923245.24,73664.00,1153.32,32.00,145.35,36.86
matMul.cu,32,32,1024,256,1,131072,923245.24,73136.00,1162.37,32.00,145.35,42.97
matMul.cu,64,16,1024,256,1,131072,923245.24,64560.00,1330.06,32.00,145.35,28.69
matMul.cu,128,8,1024,256,1,131072,923245.24,64512.00,1331.12,32.00,145.35,35.29
matMul.cu,256,4,1024,256,1,131072,923245.24,64528.00,1330.77,32.00,145.35,42.50
matMul.cu,512,2,1024,256,1,131072,923245.24,50688.00,1721.43,32.00,145.35,28.43
matMul.cu,1024,1,1024,256,1,131072,923245.24,54272.00,1601.14,32.00,145.35,36.39
