Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W),MemCoal,MemUncoal,MemPartial,LocalInsts,SharedInsts,SynchInsts,FpInsts,IntInsts,SfuInsts,AluInsts,TotalInsts,RegsPerThread,SharedMemBytes
convolution.cu,1,32,32,256,1,131072,11724161.57,57360.00,20339.61,1.00,191.96,52.23,1,49,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,2,16,32,256,1,131072,11480401.06,58368.00,19569.00,1.00,191.97,52.22,3,47,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,4,8,32,256,1,131072,10992869.03,54368.00,20119.37,1.00,191.99,52.55,6,44,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,8,4,32,256,1,131072,10017797.89,51664.00,19290.29,1.00,192.03,52.22,12,38,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,16,2,32,256,1,131072,8067633.58,57344.00,13968.84,1.00,192.14,52.05,25,25,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,32,1,32,256,1,131072,3529297.66,58912.00,5890.80,1.00,176.73,52.08,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,1,64,64,256,1,131072,23438736.81,57344.00,40773.91,2.00,191.96,52.62,1,49,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,2,32,64,256,1,131072,22951215.79,28032.00,81775.06,2.00,191.97,52.48,3,47,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,4,16,64,256,1,131072,21976151.73,56320.00,38920.16,2.00,191.99,52.31,6,44,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,8,8,64,256,1,131072,20026009.45,56736.00,35196.83,2.00,192.03,52.51,12,38,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,16,4,64,256,1,131072,16125680.84,58928.00,27265.06,2.00,192.14,52.57,25,25,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,32,2,64,256,1,131072,6472642.56,56464.00,11363.31,2.00,169.52,52.73,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,64,1,64,256,1,131072,7625369.27,49152.00,15413.85,2.00,183.94,52.77,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,1,128,128,256,1,131072,46867887.29,52224.00,89643.96,4.00,191.96,52.49,1,49,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,2,64,128,256,1,131072,45892845.25,57888.00,79178.69,4.00,191.97,52.21,3,47,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,4,32,128,256,1,131072,43942717.13,58784.00,74652.85,4.00,191.99,52.58,6,44,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,8,16,128,256,1,131072,40042432.58,57312.00,69767.45,4.00,192.03,52.61,12,38,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,16,8,128,256,1,131072,32241775.36,54736.00,58804.15,4.00,192.14,52.80,25,25,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,32,4,128,256,1,131072,19339071.99,56544.00,34101.81,4.00,161.82,52.64,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,64,2,128,256,1,131072,23124162.81,56832.00,40588.63,4.00,176.25,52.74,50,0,0,0,0,0,0,0,0,3,53,32,0
convolution.cu,128,1,128,256,1,131072,26909253.62,57344.00,46826.01,4.00,190.71,53.21,50,0,0,0,0,0,0,0,0,3,53,32,0
