block_size_x,block_size_y,nvml_pwr_limit,sm__warps_active.avg.pct_of_peak_sustained_active,sm__warps_active.max.pct_of_peak_sustained_active,sm__cycles_active.avg.pct_of_peak_sustained_active,temperature,time,times,pwr_temperature,nvml_power,nvml_energy,compile_time,verification_time,benchmark_time,Joules/token,FLOPS/Watt,SM_Active_Avg,Temperature,SM_Eff,strategy_time,framework_time,timestamp,run_label,batch_size,seq_len,nhead,dim_per_head
4,32,250,8.329396731716077,,100.0,61.0,0.0153247999027371,"[0.008448000065982342, 0.02070399932563305, 0.017664000391960144, 0.01651199907064438, 0.015039999969303608, 0.015296000055968761, 0.015168000012636185, 0.014527999795973301, 0.014431999996304512, 0.015456000342965126]",63.0,113.017,0.0017319629106076,693.9688317943364,0,458.1554748583585,3.382740059780553e-06,2421705438.55842,8.329396731716077,61.0,,24.53180518932641,0.0,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
32,8,150,16.663118701364972,,100.0,62.0,0.0388607997447252,"[0.03136000037193298, 0.043935999274253845, 0.041600000113248825, 0.040063999593257904, 0.039103999733924866, 0.038816001266241074, 0.03846399858593941, 0.03846399858593941, 0.03830400109291077, 0.038495998829603195]",62.0,97.921,0.0038052883718032,698.854445014149,0,781.2633290886879,7.432203851178202e-06,1102230262.2527435,16.663118701364972,62.0,,0.1264309976249933,46.04702605865896,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
2,512,115,66.01438824158072,,100.0,62.0,0.030124800093472,"[0.02304000034928322, 0.03407999873161316, 0.03283200040459633, 0.03177599981427193, 0.030112000182271004, 0.03030399978160858, 0.03001599945127964, 0.029664000496268272, 0.02921600081026554, 0.030208000913262367]",63.0,116.6545,0.0035141934925039,702.4604680482298,0,773.7885739188641,6.8636591650467385e-06,1193532458.8548703,66.01438824158072,62.0,,0.1277909614145755,43.33844804205,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
8,8,135,4.166172762676664,,100.0,62.0,0.0155327999033033,"[0.008991999551653862, 0.020479999482631683, 0.01759999990463257, 0.016863999888300896, 0.015744000673294067, 0.01539199985563755, 0.014879999682307243, 0.014944000169634819, 0.014816000126302242, 0.015615999698638916]",62.0,102.268,0.001588508380511,700.457472121343,0,481.29558586515486,3.1025554306856063e-06,2640404074.324539,4.166172762676664,62.0,,0.1240910496562719,53.84934204630554,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
1,64,200,4.166105085253408,,100.0,62.0,0.0142560001928359,"[0.00774399982765317, 0.01990400068461895, 0.016736000776290894, 0.015424000099301338, 0.014431999996304512, 0.013791999779641628, 0.014047999866306782, 0.013632000423967838, 0.013376000337302685, 0.013472000136971474]",64.0,0.0,0.0,695.2407229691744,0,465.5611631460488,1000000.0,0.0,4.166105085253408,62.0,,0.1276410184800624,50.94002187252045,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
128,8,100,66.54307915615492,,100.0,62.0,0.1191456004977226,"[0.11155200004577637, 0.12441600114107132, 0.12134400010108948, 0.11974400281906128, 0.11993599683046341, 0.11980800330638885, 0.11856000125408173, 0.11926399916410446, 0.11846400052309036, 0.118367999792099]",62.0,97.169,0.0115772588547632,706.1182290781289,0,932.8312259167432,2.26118337007094e-05,362288176.5552254,66.54307915615492,62.0,,0.1261811703443527,48.99766785092652,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
32,32,250,66.54640707196396,,100.0,62.0,0.1180416002869606,"[0.10969600081443787, 0.12297599762678146, 0.12028799951076508, 0.1186240017414093, 0.12160000205039978, 0.1181119978427887, 0.11734399944543839, 0.11747200042009354, 0.11740799993276596, 0.11689600348472595]",62.0,97.843,0.011549544296877,710.2252359036356,0,945.8577560726552,2.255770370483806e-05,363157531.77673936,66.54640707196396,62.0,,0.1327409408986568,53.09974704869092,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
64,4,135,16.660922083140957,,100.0,62.0,0.0386399995535612,"[0.0307839997112751, 0.043327998369932175, 0.041760001331567764, 0.03996799886226654, 0.03903999924659729, 0.03843199834227562, 0.038816001266241074, 0.03843199834227562, 0.03759999945759773, 0.03824000060558319]",62.0,97.478,0.003766549876482,729.7439121175557,0,782.1054321248084,7.356542727503983e-06,1113566562.914463,16.660922083140957,62.0,,0.1321109011769294,52.21160082146525,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
4,16,165,4.166181372320646,,100.0,62.0,0.0149344000034034,"[0.008320000022649765, 0.020447999238967896, 0.01740800030529499, 0.01571200042963028, 0.015104000456631184, 0.01462399959564209, 0.014592000283300877, 0.014175999909639359, 0.014336000196635723, 0.01462399959564209]",63.0,107.111,0.0015996385187645,713.253194000572,0,461.69785084202886,3.1242939819620007e-06,2622032384.691139,4.166181372320646,62.0,,0.1336610876023769,52.11261007934809,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
256,1,100,16.622546287695833,,100.0,62.0,0.0263136003166437,"[0.018880000337958336, 0.031039999797940254, 0.029055999591946602, 0.02723200060427189, 0.026944000273942947, 0.026976000517606735, 0.026016000658273697, 0.025887999683618546, 0.025312000885605812, 0.02579200081527233]",62.0,99.503,0.0026182821723069,710.3358919266611,0,655.5926830042154,5.113832367787108e-06,1601929709.624975,16.622546287695833,62.0,,0.1234610099345445,47.32561414130032,2025-03-27T10:51:58.965470,rq2_bayes_opt,4,128,16,256
