nvml_pwr_limit,seq_len,Joules/token_mean,Joules/token_std,throughput_mean,throughput_std
100,128,2795.248087441835,52814.61844421548,15462.092482458911,8423.974507219635
100,256,2795.2480828543908,52814.61844445844,30924.184964917822,16847.94901443927
100,512,2795.2480805606683,52814.618444579915,61848.369929835644,33695.89802887854
100,786,78431.3725500754,271524.38232304214,132104.58021724716,61257.943475743
100,1024,78431.37254983,271524.3823231144,172105.7126494416,79806.78641114604
100,2048,78431.3725494248,271524.38232323376,344211.4252988832,159613.57282229207
100,4096,78431.3725492222,271524.38232329336,688422.8505977663,319227.14564458415
100,8192,78431.37254912092,271524.3823233232,1376845.7011955327,638454.2912891683
115,128,156862.7451043976,367290.0227099547,21585.368904515075,9879.843976396745
115,256,156862.7451012184,367290.02271133964,43170.73780903015,19759.68795279349
115,512,156862.7450996288,367290.02271203214,86341.4756180603,39519.37590558698
115,786,156862.74509907467,367290.0227122735,132547.65592928787,60668.4169175613
115,1024,156862.745098834,367290.02271237836,172682.9512361206,79038.75181117396
115,2048,156862.74509843663,367290.0227125514,345365.9024722412,158077.50362234793
115,4096,156862.7450982379,367290.02271263814,690731.8049444824,316155.00724469585
115,8192,156862.74509813855,367290.02271268127,1381463.6098889648,632310.0144893917
135,128,137254.90196732627,347540.37711272977,21651.522991387268,9961.599392959308
135,256,137254.9019640553,347540.3771140474,43303.045982774536,19923.198785918616
135,512,137254.9019624198,347540.3771147062,86606.09196554907,39846.39757183723
135,786,137254.90196184968,347540.37711493584,132953.88336898747,61170.44627239076
135,1024,137254.90196160204,347540.37711503566,173212.18393109814,79692.79514367446
135,2048,137254.9019611932,347540.3771152004,346424.3678621963,159385.59028734892
135,4096,137254.90196098876,347540.37711528287,692848.7357243926,318771.18057469785
135,8192,137254.90196088652,347540.3771153239,1385697.4714487852,637542.3611493957
140,128,9.537875763094524e-06,5.019234613456901e-06,15515.00386205608,8380.836016277572
140,256,4.768937881547262e-06,2.5096173067284504e-06,31030.00772411216,16761.672032555143
140,512,2.384468940773631e-06,1.2548086533642252e-06,62060.01544822432,33523.34406511029
150,128,176470.58824176597,385013.36874882306,21742.782787903147,10077.644145322363
150,256,176470.58823853004,385013.3687503358,43485.56557580629,20155.288290644727
150,512,176470.5882369121,385013.36875109235,86971.13115161259,40310.57658128945
150,786,176470.58823634803,385013.368751356,133514.27555696777,61883.03357987015
150,1024,176470.5882361031,385013.36875147064,173942.26230322517,80621.1531625789
150,2048,176470.5882356986,385013.36875165964,347884.52460645034,161242.3063251578
150,4096,176470.58823549637,385013.36875175417,695769.0492129007,322484.6126503156
150,8192,176470.58823539526,385013.36875180143,1391538.0984258014,644969.2253006313
165,128,156862.74510458868,367290.0227098715,21725.97327393472,10015.813016759204
165,256,156862.74510131395,367290.0227112981,43451.94654786944,20031.62603351841
165,512,156862.74509967657,367290.0227120114,86903.89309573888,40063.25206703682
165,786,156862.74509910578,367290.02271225996,133411.0546352554,61503.35180603701
165,1024,156862.7450988579,367290.0227123679,173807.78619147776,80126.50413407364
165,2048,156862.74509844856,367290.0227125463,347615.5723829555,160253.00826814727
165,4096,156862.74509824387,367290.0227126354,695231.144765911,320506.01653629454
165,8192,156862.74509814155,367290.02271268005,1390462.289531822,641012.0330725891
175,128,9.685865279714691e-06,4.955152726451992e-06,15475.348889503553,8316.438983632466
175,256,4.842932639857346e-06,2.477576363225996e-06,30950.697779007107,16632.877967264933
175,512,2.421466319928673e-06,1.238788181612998e-06,61901.395558014214,33265.755934529865
185,128,156862.7451046453,367290.0227098468,21674.704375452613,9992.75089510117
185,256,156862.74510134224,367290.02271128556,43349.408750905226,19985.50179020234
185,512,156862.74509969074,367290.0227120052,86698.81750181045,39971.00358040468
185,786,156862.745099115,367290.0227122559,133096.23155551372,61361.735965230604
185,1024,156862.74509886498,367290.02271236485,173397.6350036209,79942.00716080936
185,2048,156862.7450984521,367290.02271254465,346795.2700072418,159884.0143216187
185,4096,156862.74509824565,367290.0227126346,693590.5400144836,319768.0286432374
185,8192,156862.74509814242,367290.0227126796,1387181.0800289672,639536.0572864749
200,128,156862.74510464733,367290.022709846,21754.605739055387,10055.653874939177
200,256,156862.7451013433,367290.0227112852,43509.211478110774,20111.307749878353
200,512,156862.74509969124,367290.0227120048,87018.42295622155,40222.61549975671
200,786,156862.74509911536,367290.0227122558,133586.87586638698,61747.999575798385
200,1024,156862.7450988652,367290.0227123648,174036.8459124431,80445.23099951341
200,2048,156862.74509845223,367290.02271254454,348073.6918248862,160890.46199902683
200,4096,156862.7450982457,367290.0227126346,696147.3836497724,321780.92399805365
200,8192,156862.74509814248,367290.0227126795,1392294.7672995448,643561.8479961073
210,128,9.770275467472412e-06,4.958949029759909e-06,15511.56461124454,8337.104187595582
210,256,4.885137733736206e-06,2.479474514879954e-06,31023.12922248908,16674.208375191163
210,512,2.442568866868103e-06,1.239737257439977e-06,62046.25844497816,33348.41675038233
215,128,156862.74510466182,367290.0227098397,21618.167249574773,9942.438584526793
215,256,156862.7451013505,367290.0227112821,43236.33449914955,19884.877169053587
215,512,156862.74509969488,367290.0227120034,86472.6689982991,39769.754338107174
215,786,156862.74509911772,367290.0227122548,132749.05826692007,61052.786933109855
