RQ2 Analysis Report
===================

Aggregated Statistics by (Power Limit, Seq. Len):

 nvml_pwr_limit  seq_len  Joules/token_mean  Joules/token_std  throughput_mean  throughput_std
            100      128        2795.248087      52814.618444     1.546209e+04     8423.974507
            100      256        2795.248083      52814.618444     3.092418e+04    16847.949014
            100      512        2795.248081      52814.618445     6.184837e+04    33695.898029
            100      786       78431.372550     271524.382323     1.321046e+05    61257.943476
            100     1024       78431.372550     271524.382323     1.721057e+05    79806.786411
            100     2048       78431.372549     271524.382323     3.442114e+05   159613.572822
            100     4096       78431.372549     271524.382323     6.884229e+05   319227.145645
            100     8192       78431.372549     271524.382323     1.376846e+06   638454.291289
            115      128      156862.745104     367290.022710     2.158537e+04     9879.843976
            115      256      156862.745101     367290.022711     4.317074e+04    19759.687953
            115      512      156862.745100     367290.022712     8.634148e+04    39519.375906
            115      786      156862.745099     367290.022712     1.325477e+05    60668.416918
            115     1024      156862.745099     367290.022712     1.726830e+05    79038.751811
            115     2048      156862.745098     367290.022713     3.453659e+05   158077.503622
            115     4096      156862.745098     367290.022713     6.907318e+05   316155.007245
            115     8192      156862.745098     367290.022713     1.381464e+06   632310.014489
            135      128      137254.901967     347540.377113     2.165152e+04     9961.599393
            135      256      137254.901964     347540.377114     4.330305e+04    19923.198786
            135      512      137254.901962     347540.377115     8.660609e+04    39846.397572
            135      786      137254.901962     347540.377115     1.329539e+05    61170.446272
            135     1024      137254.901962     347540.377115     1.732122e+05    79692.795144
            135     2048      137254.901961     347540.377115     3.464244e+05   159385.590287
            135     4096      137254.901961     347540.377115     6.928487e+05   318771.180575
            135     8192      137254.901961     347540.377115     1.385697e+06   637542.361149
            140      128           0.000010          0.000005     1.551500e+04     8380.836016
            140      256           0.000005          0.000003     3.103001e+04    16761.672033
            140      512           0.000002          0.000001     6.206002e+04    33523.344065
            150      128      176470.588242     385013.368749     2.174278e+04    10077.644145
            150      256      176470.588239     385013.368750     4.348557e+04    20155.288291
            150      512      176470.588237     385013.368751     8.697113e+04    40310.576581
            150      786      176470.588236     385013.368751     1.335143e+05    61883.033580
            150     1024      176470.588236     385013.368751     1.739423e+05    80621.153163
            150     2048      176470.588236     385013.368752     3.478845e+05   161242.306325
            150     4096      176470.588235     385013.368752     6.957690e+05   322484.612650
            150     8192      176470.588235     385013.368752     1.391538e+06   644969.225301
            165      128      156862.745105     367290.022710     2.172597e+04    10015.813017
            165      256      156862.745101     367290.022711     4.345195e+04    20031.626034
            165      512      156862.745100     367290.022712     8.690389e+04    40063.252067
            165      786      156862.745099     367290.022712     1.334111e+05    61503.351806
            165     1024      156862.745099     367290.022712     1.738078e+05    80126.504134
            165     2048      156862.745098     367290.022713     3.476156e+05   160253.008268
            165     4096      156862.745098     367290.022713     6.952311e+05   320506.016536
            165     8192      156862.745098     367290.022713     1.390462e+06   641012.033073
            175      128           0.000010          0.000005     1.547535e+04     8316.438984
            175      256           0.000005          0.000002     3.095070e+04    16632.877967
            175      512           0.000002          0.000001     6.190140e+04    33265.755935
            185      128      156862.745105     367290.022710     2.167470e+04     9992.750895
            185      256      156862.745101     367290.022711     4.334941e+04    19985.501790
            185      512      156862.745100     367290.022712     8.669882e+04    39971.003580
            185      786      156862.745099     367290.022712     1.330962e+05    61361.735965
            185     1024      156862.745099     367290.022712     1.733976e+05    79942.007161
            185     2048      156862.745098     367290.022713     3.467953e+05   159884.014322
            185     4096      156862.745098     367290.022713     6.935905e+05   319768.028643
            185     8192      156862.745098     367290.022713     1.387181e+06   639536.057286
            200      128      156862.745105     367290.022710     2.175461e+04    10055.653875
            200      256      156862.745101     367290.022711     4.350921e+04    20111.307750
            200      512      156862.745100     367290.022712     8.701842e+04    40222.615500
            200      786      156862.745099     367290.022712     1.335869e+05    61747.999576
            200     1024      156862.745099     367290.022712     1.740368e+05    80445.231000
            200     2048      156862.745098     367290.022713     3.480737e+05   160890.461999
            200     4096      156862.745098     367290.022713     6.961474e+05   321780.923998
            200     8192      156862.745098     367290.022713     1.392295e+06   643561.847996
            210      128           0.000010          0.000005     1.551156e+04     8337.104188
            210      256           0.000005          0.000002     3.102313e+04    16674.208375
            210      512           0.000002          0.000001     6.204626e+04    33348.416750
            215      128      156862.745105     367290.022710     2.161817e+04     9942.438585
            215      256      156862.745101     367290.022711     4.323633e+04    19884.877169
            215      512      156862.745100     367290.022712     8.647267e+04    39769.754338
            215      786      156862.745099     367290.022712     1.327491e+05    61052.786933
            215     1024      156862.745099     367290.022712     1.729453e+05    79539.508676
            215     2048      156862.745098     367290.022713     3.458907e+05   159079.017352
            215     4096      156862.745098     367290.022713     6.917814e+05   318158.034705
            215     8192      156862.745098     367290.022713     1.383563e+06   636316.069410
            235      128      137254.901967     347540.377113     2.164196e+04    10040.642533
            235      256      137254.901964     347540.377114     4.328392e+04    20081.285066
            235      512      137254.901962     347540.377115     8.656784e+04    40162.570131
            235      786      137254.901962     347540.377115     1.328952e+05    61655.820553
