RQ2 Analysis Report
===================

Aggregated Statistics by (Power Limit, Seq. Len):

 nvml_pwr_limit  seq_len  Joules/token_mean  Joules/token_std  throughput_mean  throughput_std
            100      128       7.495305e-06      4.802445e-06     1.689095e+04     6280.483720
            100      256       7.692308e+04      2.773501e+05     4.730831e+04    16502.899408
            100      512       7.692308e+04      2.773501e+05     9.365893e+04    35631.020744
            100      786       7.692308e+04      2.773501e+05     1.433135e+05    57543.822299
            100     1024       8.333333e+04      2.886751e+05     1.969610e+05    64902.909318
            100     2048       6.250000e+04      2.500000e+05     2.550464e+05   169192.048244
            100     4096       7.142857e+04      2.672612e+05     6.988791e+05   332307.857576
            100     8192       8.333333e+04      2.886751e+05     1.438914e+06   696562.075868
            115      128       5.240102e-06      1.151354e-06     2.057941e+04     3594.554828
            115      256       2.354795e-06      7.964874e-07     5.272827e+04    13599.980966
            115      512       1.773167e-06      1.905375e-06     9.887155e+04    39890.361536
            115      786       7.501070e-07      2.720115e-07     1.678649e+05    40320.608294
            115     1024       7.380911e-07      4.998271e-07     1.942931e+05    70118.548840
            115     2048       4.176467e-07      1.960758e-07     3.250228e+05   169124.196275
            115     4096       1.439414e-07      5.219752e-08     8.747766e+05   210118.589787
            115     8192       1.680971e-07      2.198849e-07     1.442719e+06   746305.355466
            135      128       7.066129e-06      3.019325e-06     1.842123e+04     7679.048631
            135      256       2.330079e-06      6.734637e-07     5.732167e+04     9420.996624
            135      512       1.247184e-06      3.526239e-07     1.084375e+05    24989.559000
            135      786       1.022222e-06      6.886997e-07     1.548439e+05    57998.496205
            135     1024       7.196542e-07      3.774606e-07     2.089386e+05    67282.777829
            135     2048       6.640088e-07      6.219517e-07     2.648517e+05   153973.325356
            135     4096       3.662798e-07      5.353158e-07     7.562322e+05   355380.773292
            135     8192       1.335302e-07      1.741801e-07     1.634410e+06   631814.461807
            150      128       5.521524e-06      2.045963e-06     2.323224e+04     7434.570872
            150      256       3.775192e-06      3.201020e-06     4.850272e+04    19847.542346
            150      512       1.431546e-06      5.045999e-07     1.042903e+05    28350.014012
            150      786       1.003148e-06      4.252819e-07     1.548613e+05    49348.126024
            150     1024       6.558506e-07      2.131136e-07     2.172722e+05    48141.777794
            150     2048       8.462191e-07      8.775542e-07     2.763498e+05   188169.839161
            150     4096       3.559523e-07      5.820623e-07     8.120720e+05   324258.013360
            150     8192       2.651985e-07      3.231111e-07     1.285206e+06   807950.130750
            165      128       5.580243e-06      1.808913e-06     2.197328e+04     6377.700858
            165      256       2.953279e-06      1.355406e-06     5.296825e+04    14031.155749
            165      512       1.393822e-06      6.538250e-07     1.074180e+05    24247.974385
            165      786       9.523135e-07      4.709368e-07     1.694217e+05    40576.353399
            165     1024       1.136023e-06      1.049433e-06     1.814554e+05    86411.646904
            165     2048       6.326204e-07      7.480806e-07     3.251907e+05   183408.086990
            165     4096       1.752140e-07      8.191279e-08     8.516983e+05   203213.134584
