seq_len,batch_size,nhead,dim_per_head,block_x,block_y,thread_count,predicted_time_ns,actual_time_ns,predicted_power,actual_power,mem_coal,mem_uncoal,mem_partial,local_insts,shared_insts,synch_insts,fp_insts,int_insts,sfu_insts,alu_insts,total_insts,registers_per_thread,shared_mem_bytes
128,4,16,256,1,32,32,724483.3280597855,18041.600100696087,4576.782620462798,74.739,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,1,64,64,2136911.1738183647,16966.400109231472,4576.782620462798,64.355,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,1,128,128,4247032.84600654,17407.999746501446,4576.782620462798,87.381,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,1,256,256,8467276.190382887,29887.99996674061,4576.782620462798,80.346,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,1,512,512,16907762.879135583,12697.600200772285,4576.782620462798,149.019,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,1,1024,1024,22529073.94067092,32460.800558328632,4576.782620462798,110.486,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,2,16,32,724210.5819848926,7782.400026917458,4576.782620462798,69.604,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,2,32,64,2136504.2520567174,7168.000098317862,4576.782620462798,69.897,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,2,64,128,4246625.924244891,17868.799902498722,4576.782620462798,84.792,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,2,128,256,8466869.26862124,18630.399741232395,4576.782620462798,99.422,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,2,256,512,16907355.957373932,23206.400126218796,4576.782620462798,65.342,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,2,512,1024,22528801.19459602,32454.400137066837,4576.782620462798,85.263,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,4,8,32,651423.4436103952,17824.000492691994,4576.782620462798,63.968,0,0,12,0,1,6,4,16,1,248,288,32,0
128,4,16,256,4,16,64,1956839.9506611992,7987.200003117322,4576.782620462798,68.126,0,0,12,0,1,6,4,16,1,248,288,32,0
