seq_len,batch_size,nhead,dim_per_head,block_x,block_y,thread_count,predicted_time_ns,actual_time_ns,predicted_power,actual_power,mem_coal,mem_uncoal,mem_partial,local_insts,shared_insts,synch_insts,fp_insts,int_insts,sfu_insts,alu_insts,total_insts,registers_per_thread,shared_mem_bytes
1024,4,16,256,1,32,32,903458.3315796804,31609.60040986538,35747294.50750498,115.572,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1,64,64,2681512.602680989,31519.999727606773,53620819.98625582,126.308,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1,128,128,5343616.813324249,32499.20047819614,53620819.98625582,147.064,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1,256,256,10667825.234610775,35206.399857997894,53620819.98625582,189.154,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1,512,512,21316242.077183817,48582.39963650704,53620819.98625582,211.472,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,1,1024,1024,28411868.50822672,78598.40095043182,35747294.50750498,212.361,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,16,32,903287.6077258989,31744.000315666195,35747294.50750498,107.71,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,32,64,2681257.8689043145,31507.200375199314,53620819.98625582,115.0125,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,64,128,5343362.079547576,32064.000517129894,53620819.98625582,125.693,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,128,256,10667570.500834098,35340.799763798714,53620819.98625582,145.238,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,256,512,21315987.343407143,48083.19956064224,53620819.98625582,154.818,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,2,512,1024,28411697.784372933,79347.20069169998,35747294.50750498,155.988,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,8,32,894483.6305975737,32121.59983813763,35747294.50750498,101.54,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,16,64,2680748.401350967,31955.200433731083,53620819.98625582,105.843,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,32,128,5342852.611994227,32217.5994515419,53620819.98625582,113.002,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,64,256,10667061.03328075,36256.00039958954,53620819.98625582,121.592,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,128,512,21315477.8758538,49407.99921751022,53620819.98625582,125.635,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,4,256,1024,28411356.336665373,81920.00240087509,35747294.50750498,125.841,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,4,32,731385.000224783,32083.20029079914,32896685.301186983,97.569,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,8,64,2109555.6797741195,32358.4008961916,48659806.2114809,99.252,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,16,128,4321350.262812119,34137.59991526604,49344913.724724665,104.108,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,32,256,8862669.414476793,39039.99961912632,50030021.23796844,107.428,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,64,512,18180951.020081937,55673.59998822212,50715128.7512122,110.375,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,8,128,1024,24862464.142640248,93420.79907655716,34266902.74641529,110.339,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,16,2,32,668938.5416021865,32857.60022699833,29830378.35344101,96.591,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,16,4,64,1953908.143790654,34207.99970626831,44402907.66556192,96.849,0,0,12,0,1,6,4,16,1,183,223,32,0
