block_size_x,block_size_y,sm__warps_active.avg.pct_of_peak_sustained_active,sm__warps_active.max.pct_of_peak_sustained_active,sm__cycles_active.avg.pct_of_peak_sustained_active,wall_time,temperature,time,times,pwr_temperature,nvml_power,nvml_energy,compile_time,verification_time,benchmark_time,time_per_run,energy_per_run,Joules/token,FLOPS/Watt,SM_Active_Avg,strategy_time,framework_time,timestamp,is_pareto,run_label,batch_size,seq_len,nhead,dim_per_head,strategy,iterations
1,1,2.083333333333333,,100.0,2.9325485229492188e-05,41.0,0.015180800203233957,"[0.007615999784320593, 0.02054399996995926, 0.01664000004529953, 0.01600000075995922, 0.015104000456631184]",42.0,0.0,0.0,822.793735191226,0,455.64888091757894,0.015180800203233957,0.0,0.0,0.0,2.083333333333333,0,0.0,2025-07-03T17:27:53.267444,False,rq3_enhanced,4,128,16,256,brute_force,5
1,2,2.083333333333333,,100.0,2.956390380859375e-05,42.0,0.015769599843770264,"[0.0077760000713169575, 0.020447999238967896, 0.018783999606966972, 0.016224000602960587, 0.015615999698638916]",42.0,0.0,0.0,815.0243796408176,0,435.64698193222284,0.015769599843770264,0.0,0.0,0.0,2.083333333333333,0,0.28422148898243904,2025-07-03T17:27:53.267444,False,rq3_enhanced,4,128,16,256,brute_force,5
2,1,2.083333333333333,,100.0,2.7418136596679688e-05,42.0,0.014918399695307016,"[0.00774399982765317, 0.020320000126957893, 0.01724799908697605, 0.014879999682307243, 0.014399999752640724]",42.0,0.0,0.0,810.4141098447144,0,467.20455400645733,0.014918399695307016,0.0,0.0,0.0,2.083333333333333,0,0.280001200735569,2025-07-03T17:27:53.267444,True,rq3_enhanced,4,128,16,256,brute_force,5
2,2,2.083333333333333,,100.0,2.9087066650390625e-05,42.0,0.015270400047302245,"[0.007840000092983246, 0.020800000056624413, 0.01651199907064438, 0.015776000916957855, 0.015424000099301338]",43.0,0.0,0.0,833.7858649902046,0,451.90548431128263,0.015270400047302245,0.0,0.0,0.0,2.083333333333333,0,0.266391783952713,2025-07-03T17:27:53.267444,False,rq3_enhanced,4,128,16,256,brute_force,5
1,1,2.083333333333333,,100.0,2.9325485229492188e-05,43.0,0.016652800142765045,"[0.009503999724984169, 0.02208000048995018, 0.017855999991297722, 0.016831999644637108, 0.016992000862956047]",44.0,101.848,0.0016960543889403344,822.848395910114,0,471.2326619774103,0.016652800142765045,0.0003392108777880669,3.312606228399091e-07,24729772979.866104,2.083333333333333,0,0.0,2025-07-03T17:27:59.893187,False,rq3_enhanced,4,256,16,256,brute_force,5
1,2,2.0833333333333335,,100.0,2.8371810913085938e-05,43.0,0.016326400078833105,"[0.009375999681651592, 0.021568000316619873, 0.01820800080895424, 0.01664000004529953, 0.01583999954164028]",44.0,102.479,0.0016731131536787379,819.3619200028479,0,480.03519186750054,0.016326400078833105,0.00033462263073574756,3.267799128278785e-07,25068860350.406208,2.0833333333333335,0,0.2643512561917305,2025-07-03T17:27:59.893187,True,rq3_enhanced,4,256,16,256,brute_force,5
2,1,2.083333333333333,,100.0,2.8371810913085938e-05,43.0,0.016921599768102168,"[0.009631999768316746, 0.02239999920129776, 0.018688000738620758, 0.01727999933063984, 0.016607999801635742]",44.0,96.283,0.0016292623904721809,816.8740486726165,0,472.5542780943215,0.016921599768102168,0.0003258524780944362,3.1821531063909783e-07,25743575893.778763,2.083333333333333,0,0.2608024515211582,2025-07-03T17:27:59.893187,False,rq3_enhanced,4,256,16,256,brute_force,5
2,2,2.083333333333333,,100.0,2.8133392333984375e-05,43.0,0.01646079998463392,"[0.009631999768316746, 0.02131200022995472, 0.018239999189972878, 0.01648000068962574, 0.01664000004529953]",44.0,96.29,0.0015850104305204003,823.2293683104217,0,484.80311315506697,0.01646079998463392,0.00031700208610408007,3.095723497110157e-07,26462311662.030518,2.083333333333333,0,0.26061059907078743,2025-07-03T17:27:59.893187,True,rq3_enhanced,4,256,16,256,brute_force,5
1,1,2.083333333333333,,100.0,2.8848648071289062e-05,44.0,0.01959039978682995,"[0.012415999546647072, 0.0244159996509552, 0.021407999098300934, 0.020320000126957893, 0.019392000511288643]",45.0,106.436,0.0020851237917110326,821.1109088733792,0,559.0986390598118,0.01959039978682995,0.0004170247583422065,2.0362537028428053e-07,40230743293.74175,2.083333333333333,0,0.0,2025-07-03T17:28:07.065484,True,rq3_enhanced,4,512,16,256,brute_force,5
1,2,2.083333333333333,,100.0,2.8133392333984375e-05,44.0,0.01956479959189892,"[0.012415999546647072, 0.024480000138282776, 0.021407999098300934, 0.020031999796628952, 0.019487999379634857]",45.0,106.8675,0.002090841220387258,818.1111458688974,0,560.1406740024686,0.01956479959189892,0.00041816824407745157,2.0418371292844315e-07,40120731876.74333,2.083333333333333,0,0.2564210444688797,2025-07-03T17:28:07.065484,True,rq3_enhanced,4,512,16,256,brute_force,5
2,1,2.0833333333333335,,100.0,2.8371810913085938e-05,44.0,0.019840000197291374,"[0.012512000277638435, 0.02521600015461445, 0.02147199958562851, 0.02006400004029274, 0.019936000928282738]",45.0,96.29,0.0019103936189971867,818.1285145692527,0,559.0717401355505,0.019840000197291374,0.0003820787237994373,1.86561876855194e-07,43910364422.19374,2.0833333333333335,0,0.2564811147749424,2025-07-03T17:28:07.065484,True,rq3_enhanced,4,512,16,256,brute_force,5
2,2,2.083333333333333,,100.0,2.956390380859375e-05,44.0,0.019820799864828587,"[0.012543999589979649, 0.024800000712275505, 0.02143999934196472, 0.020191999152302742, 0.020128000527620316]",45.0,96.439,0.0019114981181642039,813.63988481462,0,559.8900429904461,0.019820799864828587,0.0003822996236328408,1.8666973810197304e-07,43884992196.886856,2.083333333333333,0,0.2549220807850361,2025-07-03T17:28:07.065484,True,rq3_enhanced,4,512,16,256,brute_force,5
1,1,2.083333333333333,,100.0,3.361701965332031e-05,45.0,0.02419840022921562,"[0.015968000516295433, 0.03110400028526783, 0.025567999109625816, 0.023072000592947006, 0.025280000641942024]",46.0,108.996,0.0026375288313835858,820.99047023803,0,598.859537858516,0.02419840022921562,0.0005275057662767172,1.6778173227630953e-07,48825339259.87302,2.083333333333333,0,0.0,2025-07-03T17:28:14.647879,False,rq3_enhanced,4,786,16,256,brute_force,5
1,2,2.0833333333333335,,100.0,3.266334533691406e-05,45.0,0.02319360002875328,"[0.015807999297976494, 0.028192000463604927, 0.024639999493956566, 0.02332800067961216, 0.024000000208616257]",47.0,109.992,0.002551110454362631,816.3582091219723,0,623.6032210290432,0.02319360002875328,0.0005102220908725261,1.6228438004851342e-07,50479288256.52276,2.0833333333333335,0,0.2566310577094555,2025-07-03T17:28:14.647879,False,rq3_enhanced,4,786,16,256,brute_force,5
2,1,2.083333333333333,,100.0,3.2901763916015625e-05,45.0,0.02319360002875328,"[0.015968000516295433, 0.027904000133275986, 0.024447999894618988, 0.023135999217629433, 0.024512000381946564]",46.0,97.189,0.0022541627931945024,813.7168269604445,0,628.0615511350334,0.02319360002875328,0.00045083255863890046,1.4339457971975206e-07,57129077096.29127,2.083333333333333,0,0.25564059615135193,2025-07-03T17:28:14.647879,True,rq3_enhanced,4,786,16,256,brute_force,5
2,2,2.0833333333333335,,100.0,3.3855438232421875e-05,46.0,0.023532800003886224,"[0.015968000516295433, 0.028031999245285988, 0.024768000468611717, 0.023615999147295952, 0.025280000641942024]",46.0,97.332,0.002290494489978254,811.9012187235057,0,622.7145162411034,0.023532800003886224,0.00045809889799565076,1.457057563599398e-07,56222898838.41747,2.0833333333333335,0,0.2637607976794243,2025-07-03T17:28:14.647879,False,rq3_enhanced,4,786,16,256,brute_force,5
1,1,2.083333333333333,,100.0,0.00010037422180175781,46.0,0.026579200476408004,"[0.018464000895619392, 0.031072000041604042, 0.02739199995994568, 0.02848000079393387, 0.027488000690937042]",47.0,110.809,0.0029452146255902942,813.4785760194063,0,654.1495691053569,0.026579200476408004,0.0005890429251180589,1.438093078901511e-07,56964323938.318855,2.083333333333333,0,0.0,2025-07-03T17:28:22.533127,False,rq3_enhanced,4,1024,16,256,brute_force,5
