Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W),MemCoal,MemUncoal,MemPartial,LocalInsts,SharedInsts,SynchInsts,FpInsts,IntInsts,SfuInsts,AluInsts,TotalInsts,RegsPerThread,SharedMemBytes
matMul.cu,1,32,32,256,1,131072,2701582.38,56864.00,4650.95,1.00,192.01,24.30,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,2,16,32,256,1,131072,2647951.13,63392.00,4077.11,1.00,192.01,31.97,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,4,8,32,256,1,131072,2540697.29,53760.00,4626.00,1.00,192.03,37.13,1,10,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,8,4,32,256,1,131072,2326179.37,61440.00,3686.10,1.00,192.08,42.15,2,9,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,16,2,32,256,1,131072,1897145.11,61392.00,2990.22,1.00,192.20,29.15,5,6,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,32,1,32,256,1,131072,881104.71,53248.00,1554.72,1.00,176.76,34.09,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,1,64,64,256,1,131072,5393619.20,60928.00,8752.45,2.00,192.01,38.78,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,2,32,64,256,1,131072,5286356.70,55296.00,9460.11,2.00,192.02,43.59,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,4,16,64,256,1,131072,5071849.01,44192.00,11376.85,2.00,192.03,30.96,1,10,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,8,8,64,256,1,131072,4642813.18,54208.00,8464.81,2.00,192.08,35.99,2,9,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,16,4,64,256,1,131072,3784744.66,62464.00,5959.08,2.00,192.20,41.09,5,6,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,32,2,64,256,1,131072,1609939.35,35840.00,4392.02,2.00,169.56,28.58,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,64,1,64,256,1,131072,1895369.67,61536.00,2980.10,2.00,183.98,32.85,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,1,128,128,256,1,131072,10777692.83,80896.00,13222.90,4.00,192.01,38.33,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,2,64,128,256,1,131072,10563167.83,58368.00,17997.53,4.00,192.02,42.88,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,4,32,128,256,1,131072,10134152.45,55296.00,18227.10,4.00,192.04,29.42,1,10,0,0,0,0,0,0,0,2,13,32,0
